district,hashtags,source
Charlottenburg-Wilmersdorf,#high_income,income: rule-based
Charlottenburg-Wilmersdorf,#low_safety,safety: rule-based
Charlottenburg-Wilmersdorf,#low_unemployment,unemployment: rule-based
Charlottenburg-Wilmersdorf,#average_density,density: rule-based
Charlottenburg-Wilmersdorf,#high_diversity,diversity: rule-based
Charlottenburg-Wilmersdorf,#affluent_but_risky,income_safety: rule-based
Charlottenburg-Wilmersdorf,#moderately_urban,urbanity: rule-based
Charlottenburg-Wilmersdorf,#moderate_mobility,mobility: rule-based
Charlottenburg-Wilmersdorf,#vibrant_venues,vibrancy: rule-based
Charlottenburg-Wilmersdorf,#low_playground_density,playgrounds_density: rule-based
Charlottenburg-Wilmersdorf,#high_green_share,green_share: rule-based
Friedrichshain-Kreuzberg,#high_income,income: rule-based
Friedrichshain-Kreuzberg,#low_safety,safety: rule-based
Friedrichshain-Kreuzberg,#high_unemployment,unemployment: rule-based
Friedrichshain-Kreuzberg,#high_density,density: rule-based
Friedrichshain-Kreuzberg,#high_diversity,diversity: rule-based
Friedrichshain-Kreuzberg,#affluent_but_risky,income_safety: rule-based
Friedrichshain-Kreuzberg,#vibrant_and_diverse,urbanity: rule-based
Friedrichshain-Kreuzberg,#well_connected_mobility,mobility: rule-based
Friedrichshain-Kreuzberg,#vibrant_venues,vibrancy: rule-based
Friedrichshain-Kreuzberg,#high_playground_density,playgrounds_density: rule-based
Friedrichshain-Kreuzberg,#low_green_share,green_share: rule-based
Lichtenberg,#low_income,income: rule-based
Lichtenberg,#average_safety,safety: rule-based
Lichtenberg,#average_unemployment,unemployment: rule-based
Lichtenberg,#average_density,density: rule-based
Lichtenberg,#average_diversity,diversity: rule-based
Lichtenberg,#mixed_income_safety,income_safety: rule-based
Lichtenberg,#moderately_urban,urbanity: rule-based
Lichtenberg,#moderate_mobility,mobility: rule-based
Lichtenberg,#sparse_venues,vibrancy: rule-based
Lichtenberg,#high_playground_density,playgrounds_density: rule-based
Lichtenberg,#average_green_share,green_share: rule-based
